EXCH,Scrip,Call/Put,Exp Date,STK,BF Qty,Buy Qty,Buy Avg,Sale Qty,Sale Avg,Net Qty,MTM,Avg Rate,LTP,Today Net,Today Avg
FO,HFCL,PE,27-02-2025,95.0,4150,0,0.0,0,0.0,4150,16600.0,7.95,11.95,0,0.0
FO,HFCL,CE,27-02-2025,100.0,-12450,0,0.0,0,0.0,-12450,1245.0,0.25,0.15,0,0.0
FO,HFCL,PE,27-02-2025,100.0,12450,0,0.0,0,0.0,12450,41707.5,12.9,16.25,0,0.0
FO,HFCL,CE,27-02-2025,105.0,-16600,0,0.0,0,0.0,-16600,830.0,0.15,0.1,0,0.0
FO,HFCL,PE,27-02-2025,105.0,16600,0,0.0,0,0.0,16600,79680.0,17.7,22.5,0,0.0
FO,HFCL,CE,27-02-2025,110.0,-24900,0,0.0,0,0.0,-24900,1245.0,0.1,0.05,0,0.0
FO,HFCL,PE,27-02-2025,110.0,24900,0,0.0,0,0.0,24900,0.0,22.8,22.8,0,0.0
FO,HINDPETRO,CE,27-02-2025,340.0,-12150,0,0.0,0,0.0,-12150,2430.0,2.05,1.85,0,0.0
FO,HINDPETRO,PE,27-02-2025,340.0,12150,0,0.0,0,0.0,12150,-17617.5,23.25,21.8,0,0.0
FO,HINDPETRO,CE,27-02-2025,350.0,-2025,0,0.0,0,0.0,-2025,202.5,1.1,1.0,0,0.0
FO,HINDPETRO,PE,27-02-2025,350.0,2025,0,0.0,0,0.0,2025,607.5,30.7,31.0,0,0.0
FO,HINDPETRO,FF,27-02-2025,0.0,14175,0,0.0,0,0.0,14175,9922.5,319.5,320.2,0,0.0
FO,HUDCO,FF,27-02-2025,0.0,9700,0,0.0,0,0.0,9700,-36957.0,183.41,179.6,0,0.0
FO,HUDCO,CE,27-02-2025,200.0,-4850,0,0.0,0,0.0,-4850,2910.0,1.35,0.75,0,0.0
FO,HUDCO,PE,27-02-2025,200.0,4850,0,0.0,0,0.0,4850,14550.0,18.0,21.0,0,0.0
FO,HUDCO,CE,27-02-2025,210.0,-4850,0,0.0,0,0.0,-4850,1212.5,0.6,0.35,0,0.0
FO,HUDCO,PE,27-02-2025,210.0,4850,0,0.0,0,0.0,4850,5335.0,27.15,28.25,0,0.0
FO,IDEA,FF,27-02-2025,0.0,9480000,400000,7.98,0,0.0,9880000,-2142000.0,8.3,8.08,400000,7.98
FO,IDEA,CE,27-02-2025,6.0,40000,0,0.0,-40000,2.15,0,-6000.0,0.0,2.0,-40000,2.15
FO,IDEA,PE,27-02-2025,6.0,40000,0,0.0,0,0.0,40000,0.0,0.05,0.05,0,0.0
FO,IDEA,CE,27-02-2025,8.0,-360000,0,0.0,0,0.0,-360000,90000.0,0.6,0.35,0,0.0
FO,IDEA,PE,27-02-2025,8.0,360000,0,0.0,0,0.0,360000,0.0,0.3,0.3,0,0.0
FO,IDEA,CE,27-02-2025,10.0,-2240000,0,0.0,-320000,0.05,-2560000,-128000.0,0.05,0.1,-320000,0.05
FO,IDEA,PE,27-02-2025,10.0,2240000,320000,2.05,0,0.0,2560000,416000.0,1.79,1.95,320000,2.05
FO,IDEA,CE,27-02-2025,12.0,-1320000,0,0.0,0,0.0,-1320000,0.0,0.05,0.05,0,0.0
